হাগদবনি,ꯍꯥꯒꯗꯕꯅꯤ
ঙমদবা,ꯉꯝꯗꯕ
তম্না,ꯇꯝꯅꯥ
শীহল্লি,ꯁꯤꯍꯜꯂꯤ
অঈংঅশাগী,ꯑꯏꯡꯑꯁꯥꯒꯤ
লাওখ্রে,ꯂꯥꯑꯣꯈꯔ꯭ꯦ
লৌশিন্নবগীদমক,ꯂꯧꯁꯤꯟꯅꯕꯒꯤꯗꯃꯛ
পূম্শুম,ꯄꯨꯝꯁꯨꯝ
মর্ফুহুম্দোই,ꯃꯔꯐꯨꯍꯨꯝꯗꯣꯏ
জানিয়েছেন,ꯖꯥꯅꯤꯌꯦꯁꯦꯟ
পুলিশের,ꯄꯨꯂꯤꯁꯦꯔ
সাতটা,ꯁꯥꯠꯇ
পক্তবা,ꯄꯛꯇꯕ
হায়্নবগুম,ꯍꯥꯌꯅꯕꯒꯨꯝ
এক্সপোর্ট,ꯑꯦꯛꯁꯄꯣꯔꯇ
পাবোইরে,ꯄꯥꯕꯣꯏꯔꯦ
চয়েৎনবা,ꯆꯌꯦꯠꯅꯕ
নপতিন,ꯅꯞꯇꯤꯟ
ইন্টরনেস্নেল,ꯏꯟꯇꯔꯅꯦꯁꯅꯦꯜ
অইবশিং,ꯑꯏꯕꯁꯤꯡ
ইন্টিটি,ꯏꯟꯇꯤꯇꯤ
খুউনাবাঅতৈ,ꯈꯨꯎꯅꯥꯕꯥꯑꯇꯩ
কোন্বা,ꯀꯣꯟꯕ
নিজরো,ꯅꯤꯖꯔꯣ
লেপচবা,ꯂꯦꯞꯆꯕ
কম্পেন্সেসন,ꯀꯝꯄꯦꯟꯁꯦꯁꯟ
চত্পদুম্,ꯆꯠꯄꯗꯨꯝ
শোয়নাইবগী,ꯁꯣꯌꯅꯥꯏꯕꯒꯤ
লৌরক্তবদগীনি,ꯂꯧꯔꯛꯇꯕꯗꯒꯤꯅꯤ
শঙ্গাগদৌরিবনো,ꯁꯡꯒꯥꯒꯗꯧꯔꯤꯕꯅꯣ
থাজবদগী,ꯊꯥꯖꯕꯗꯒꯤ
ইন্দাস্ট্রি,ꯏꯟꯗꯥꯁꯇꯔ꯭ꯤ
লিলাশিংসি,ꯂꯤꯂꯥꯁꯤꯡꯁꯤ
ঙাইহৌরি,ꯉꯥꯏꯍꯧꯔꯤ
থম্বাল,ꯊꯝꯕꯥꯜ
লম্পাক্কী,ꯂꯝꯄꯥꯛꯀꯤ
হাত্ত্রবদি,ꯍꯥꯠꯇꯔ꯭ꯕꯗꯤ
ভেকেন্সী,ꯚꯦꯀꯦꯟꯁꯤ
মচীন্দা,ꯃꯆꯤꯟꯗꯥ
হল্লগে,ꯍꯜꯂꯒꯦ
শোকহন্দুনা,ꯁꯣꯛꯍꯟꯗꯨꯅ
কোল্লক্উ,ꯀꯣꯜꯂꯛꯎ
রিভোলুসন,ꯔꯤꯚꯣꯂꯨꯁꯟ
লম্খল,ꯂꯝꯈꯜ
নংলুখি,ꯅꯪꯂꯨꯈꯤ
ঙম্খিদে,ꯉꯝꯈꯤꯗꯦ
হন্খিবদগীদি,ꯍꯟꯈꯤꯕꯗꯒꯤꯗꯤ
মতাশীং,ꯃꯇꯥꯁꯤꯡ
ইফোর্ম,ꯏꯐꯣꯔꯃ
ঙাওবগী,ꯉꯥꯑꯣꯕꯒꯤ
সুপ্রিম,ꯁꯨꯄꯔ꯭ꯤꯝ
শুংবা,ꯁꯨꯡꯕ
পোক্নবগী,ꯄꯣꯛꯅꯕꯒꯤ
হেন্দিক্রাফট,ꯍꯦꯟꯗꯤꯀꯔ꯭ꯥꯐꯠ
হোত্নজবনি,ꯍꯣꯠꯅꯖꯕꯅꯤ
কৌরুবসু,ꯀꯧꯔꯨꯕꯁꯨ
অকোয়বগী,ꯑꯀꯣꯌꯕꯒꯤ
মায়পীখি,ꯃꯥꯌꯄꯤꯈꯤ
বাংলা,ꯕꯥꯡꯂꯥ
ঙাক্পা,ꯉꯥꯛꯄꯥ
লৈরম্দ্রে,ꯂꯩꯔꯝꯗꯔ꯭ꯦ
অকোয়রোন,ꯑꯀꯣꯌꯔꯣꯟ
লোন্দালোন্দগী,ꯂꯣꯟꯗꯥꯂꯣꯟꯗꯒꯤ
য়ুতিলাইজেসন,ꯌꯨꯇꯤꯂꯥꯏꯖꯦꯁꯟ
খোংউপ,ꯈꯣꯡꯎꯞ
অশোইবনি,ꯑꯁꯣꯏꯕꯅꯤ
শারিবশিং,ꯁꯥꯔꯤꯕꯁꯤꯡ
লাক্কদ্রা,ꯂꯥꯛꯀꯗꯔ꯭ꯥ
চেন্খিনি,ꯆꯦꯟꯈꯤꯅꯤ
অদ্দুবু,ꯑꯗꯗꯨꯕꯨ
নান্থোক্ফম,ꯅꯥꯟꯊꯣꯛꯐꯝ
হঙ্গত্চরে,ꯍꯡꯒꯠꯆꯔꯦ
অনীদুবু,ꯑꯅꯤꯗꯨꯕꯨ
খল্লে,ꯈꯜꯂꯦ
চেলেঞ্জশীং,ꯆꯦꯂꯦꯟꯖꯁꯤꯡ
গার্দেন্দা,ꯒꯥꯔꯗꯦꯟꯗꯥ
খুম্জৈ,ꯈꯨꯝꯖꯩ
জেকোবস,ꯖꯦꯀꯣꯕꯁ
মৈতৈশিং,ꯃꯩꯇꯩꯁꯤꯡ
পুংমুৎ,ꯄꯨꯡꯃꯨꯠ
লৈবশীংদু,ꯂꯩꯕꯁꯤꯡꯗꯨ
য়াংশিনবা,ꯌꯥꯡꯁꯤꯟꯕ
উচেক্শিংসু,ꯎꯆꯦꯛꯁꯤꯡꯁꯨ
মশান্নগী,ꯃꯁꯥꯟꯅꯒꯤ
হাইদ্রো,ꯍꯥꯏꯗꯔ꯭ꯣ
হোংখ্রবশিংসু,ꯍꯣꯡꯈꯔ꯭ꯕꯁꯤꯡꯁꯨ
অফবদি,ꯑꯐꯕꯗꯤ
খত্নবগী,ꯈꯠꯅꯕꯒꯤ
লৈত্রবদি,ꯂꯩꯇꯔ꯭ꯕꯗꯤ
শীজিন্নরোইদবনি,ꯁꯤꯖꯤꯟꯅꯔꯣꯏꯗꯕꯅꯤ
টেক্সট,ꯇꯦꯛꯁꯠ
হায়রিবগে,ꯍꯥꯌꯔꯤꯕꯒꯦ
ইম্পোর্ট,ꯏꯝꯄꯣꯔꯇ
পীশিন,ꯄꯤꯁꯤꯟ
বোদিশীং,ꯕꯣꯗꯤꯁꯤꯡ
ন্যুত্রিসনিষ্টশীং,ꯅꯌ꯭ꯨꯇꯔ꯭ꯤꯁꯅꯤꯁꯇꯁꯤꯡ
ফংবদু,ꯐꯪꯕꯗꯨ
লায়রব,ꯂꯥꯌꯔꯕ
খংহল্লক্কনি,ꯈꯪꯍꯜꯂꯛꯀꯅꯤ
মোত্পা,ꯃꯣꯠꯄꯥ
য়ুৱারহাবাকি,ꯌꯨꯋꯥꯔꯍꯥꯕꯥꯀꯤ
অবিরাসি,ꯑꯕꯤꯔꯥꯁꯤ
লাক্পদসু,ꯂꯥꯛꯄꯗꯁꯨ
হায়্রিবসিবু,ꯍꯥꯌꯔ꯭ꯤꯕꯁꯤꯕꯨ
য়াউরক্কনি,ꯌꯥꯎꯔꯛꯀꯅꯤ
য়েংই,ꯌꯦꯡꯏ
এফোর্দেবল,ꯑꯦꯐꯣꯔꯗꯦꯕꯜ
রিস্কশীংনি,ꯔꯤꯁꯀꯁꯤꯡꯅꯤ
থোম্গে,ꯊꯣꯝꯒꯦ
লৈত্রবনি,ꯂꯩꯇꯔ꯭ꯕꯅꯤ
মপাতোন,ꯃꯄꯥꯇꯣꯟ
খুদোংথীনিঙাইনি,ꯈꯨꯗꯣꯡꯊꯤꯅꯤꯉꯥꯏꯅꯤ
সরোজকুমার,ꯁꯔꯣꯖꯀꯨꯃꯥꯔ
মহারাজগী,ꯃꯍꯥꯔꯥꯖꯒꯤ
পুথোরকু,ꯄꯨꯊꯣꯔꯀꯨ
দোক্যুমেন্টশিং,ꯗꯣꯀꯌ꯭ꯨꯃꯦꯟꯇꯁꯤꯡ
প্রদক্টশিং,ꯄꯔ꯭ꯗꯛꯇꯁꯤꯡ
জিম্নাজিয়ম,ꯖꯤꯝꯅꯥꯖꯤꯌꯝ
বেক্টেরিএল,ꯕꯦꯛꯇꯦꯔꯤꯑꯦꯜ
রান্দিক,ꯔꯥꯟꯗꯤꯛ
ফংলক্লি,ꯐꯪꯂꯛꯂꯤ
দাইলোগ,ꯗꯥꯏꯂꯣꯒ
হৈতুপ,ꯍꯩꯇꯨꯞ
দিজাষ্টর,ꯗꯤꯖꯥꯁꯇꯔ
লাল্লরোই,ꯂꯥꯜꯂꯔꯣꯏ
লাইএবিলিটি,ꯂꯥꯏꯑꯦꯕꯤꯂꯤꯇꯤ
শামুসি,ꯁꯥꯃꯨꯁꯤ
আইএএস,ꯑꯥꯏꯑꯦꯑꯦꯁ
পুবিগদবনি,ꯄꯨꯕꯤꯒꯗꯕꯅꯤ
তোকপীরো,ꯇꯣꯛꯄꯤꯔꯣ
রাষ্টা,ꯔꯥꯁꯇꯥ
শিখ্রব্রা,ꯁꯤꯈꯔ꯭ꯕꯔ꯭ꯥ
এমিনো,ꯑꯦꯃꯤꯅꯣ
ৱার্কফোর্সশীং,ꯋꯥꯔꯀꯐꯣꯔꯁꯁꯤꯡ
উন্খুইবী,ꯎꯟꯈꯨꯏꯕꯤ
দিফেন্স,ꯗꯤꯐꯦꯟꯁ
কোরপোরেট,ꯀꯣꯔꯄꯣꯔꯦꯠ
মরাইবক্কা,ꯃꯔꯥꯏꯕꯛꯀꯥ
খাঙ্হৌবসু,ꯈꯥꯡꯍꯧꯕꯁꯨ
ওষ্টিওঅরথ্রাইটিস,ꯑꯣꯁꯇꯤꯑꯣꯑꯔꯊꯔ꯭ꯥꯏꯇꯤꯁ
এক্সপেন্স,ꯑꯦꯛꯁꯄꯦꯟꯁ
মবুক্কী,ꯃꯕꯨꯛꯀꯤ
কয়াবুসু,ꯀꯌꯥꯕꯨꯁꯨ
লৈরিক্পাবুনি,ꯂꯩꯔꯤꯛꯄꯥꯕꯨꯅꯤ
রেজিষ্ট্রেসন,ꯔꯦꯖꯤꯁꯇꯔ꯭ꯦꯁꯟ
সঞ্চায়,ꯁꯟꯆꯥꯌ
ফিজিসিয়ান,ꯐꯤꯖꯤꯁꯤꯌꯥꯟ
ঙারাল,ꯉꯥꯔꯥꯜ
পুন্সি,ꯄꯨꯟꯁꯤ
শাংদ্রোং,ꯁꯥꯡꯗꯔ꯭ꯣꯡ
কেপাসিটিজ,ꯀꯦꯄꯥꯁꯤꯇꯤꯖ
ঐহাক্না,ꯑꯩꯍꯥꯛꯅꯥ
তৌহন্নবনি,ꯇꯧꯍꯟꯅꯕꯅꯤ
এদুকেসনগা,ꯑꯦꯗꯨꯀꯦꯁꯟꯒ
বাইওফিজিক্স,ꯕꯥꯏꯑꯣꯐꯤꯖꯤꯛꯁ
মৈরাগুম,ꯃꯩꯔꯥꯒꯨꯝ
ফংদ্রিফাউবদি,ꯐꯪꯗꯔ꯭ꯤꯐꯥꯎꯕꯗꯤ
দিপ্রেসন,ꯗꯤꯄꯔ꯭ꯦꯁꯟ
শীন্বা,ꯁꯤꯟꯕ
অতৈগা,ꯑꯇꯩꯒ
দিলিঙ্ক,ꯗꯤꯂꯤꯡꯀ
ক্লাউদ,ꯀꯂ꯭ꯥꯎꯗ
হায়্জবনি,ꯍꯥꯌꯖꯕꯅꯤ
তানশিল্লিবা,ꯇꯥꯟꯁꯤꯜꯂꯤꯕ
কাহল্লোইদবনি,ꯀꯥꯍꯜꯂꯣꯏꯗꯕꯅꯤ
শন্পোত,ꯁꯟꯄꯣꯠ
মীপাল,ꯃꯤꯄꯥꯜ
মখুরাগী,ꯃꯈꯨꯔꯥꯒꯤ
নেরেদু,ꯅꯦꯔꯦꯗꯨ
সার্টিফিকেসন্না,ꯁꯥꯔꯇꯤꯐꯤꯀꯦꯁꯟꯅꯥ
মখাগিসিনি,ꯃꯈꯥꯒꯤꯁꯤꯅꯤ
ৱিটনেস,ꯋꯤꯠꯅꯦꯁ
গ্রেভস,ꯒꯔ꯭ꯦꯚꯁ
লারিঙ্গোত্রাকেটিস,ꯂꯥꯔꯤꯡꯒꯣꯇꯔ꯭ꯥꯀꯦꯇꯤꯁ
এন্থোলোজিনি,ꯑꯦꯟꯊꯣꯂꯣꯖꯤꯅꯤ
অহুম্দো,ꯑꯍꯨꯝꯗꯣ
ওঝাশিংবু,ꯑꯣꯓꯥꯁꯤꯡꯕꯨ
নিফুনিথোই,ꯅꯤꯐꯨꯅꯤꯊꯣꯏ
মপংশীং,ꯃꯄꯪꯁꯤꯡ
হৌরকখি,ꯍꯧꯔꯛꯈꯤ
কেল্হৌরেদো,ꯀꯦꯜꯍꯧꯔꯦꯗꯣ
এগ্রাভেটেদ,ꯑꯦꯒꯔ꯭ꯥꯚꯦꯇꯦꯗ
নুপাসু,ꯅꯨꯄꯥꯁꯨ
তম্নবগী,ꯇꯝꯅꯕꯒꯤ
তাবগা,ꯇꯥꯕꯒ
পায়্রুরেদো,ꯄꯥꯌꯔ꯭ꯨꯔꯦꯗꯣ
তেন্দর,ꯇꯦꯟꯗꯔ
অনীখক্,ꯑꯅꯤꯈꯛ
য়াবখক্তনি,ꯌꯥꯕꯈꯛꯇꯅꯤ
তরেত্কী,ꯇꯔꯦꯠꯀꯤ
গভরমেন্ত,ꯒꯚꯔꯃꯦꯟꯇ
পায়্রুবু,ꯄꯥꯌꯔ꯭ꯨꯕꯨ
শিঙ্গা,ꯁꯤꯡꯒꯥ
গ্রোৱর,ꯒꯔ꯭ꯣꯋꯔ
ববুসু,ꯕꯕꯨꯁꯨ
ফোর্মর,ꯐꯣꯔꯃꯔ
ফার্মরস,ꯐꯥꯔꯃꯔꯁ
এজেন্টশীংনি,ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯅꯤ
নহারোলশীংবু,ꯅꯍꯥꯔꯣꯜꯁꯤꯡꯕꯨ
য়াইস্কুল,ꯌꯥꯏꯁꯀꯨꯜ
অচাথাও,ꯑꯆꯥꯊꯥꯑꯣ
ৱাশকই,ꯋꯥꯁꯛꯏ
বাততা,ꯕꯥꯠꯇ
দাইউরন,ꯗꯥꯏꯎꯔꯟ
খুগদবনি,ꯈꯨꯒꯗꯕꯅꯤ
মানুষ,ꯃꯥꯅꯨꯁ
য়ুনাইতেদ,ꯌꯨꯅꯥꯏꯇꯦꯗ
থিন্থহল্লে,ꯊꯤꯟꯊꯍꯜꯂꯦ
কৈরাক্তু,ꯀꯩꯔꯥꯛꯇꯨ
প্রোতিন,ꯄꯔ꯭ꯣꯇꯤꯟ
পেসেন্টশীংদুগী,ꯄꯦꯁꯦꯟꯇꯁꯤꯡꯗꯨꯒꯤ
ওটোনোমি,ꯑꯣꯇꯣꯅꯣꯃꯤ
গ্রাউঃদ,ꯒꯔ꯭ꯥꯎঃꯗ
এম্পাৱারমেন্ট,ꯑꯦꯝꯄꯥꯋꯥꯔꯃꯦꯟꯇ
সাইকল,ꯁꯥꯏꯀꯜ
শোন্থরিঙৈগী,ꯁꯣꯟꯊꯔꯤꯉꯩꯒꯤ
নুংশিত্,ꯅꯨꯡꯁꯤꯠ
মেথিসিলিন,ꯃꯦꯊꯤꯁꯤꯂꯤꯟ
বারশিং,ꯕꯥꯔꯁꯤꯡ
হাউব্রা,ꯍꯥꯎꯕꯔ꯭ꯥ
হূমেন,ꯍꯨꯃꯦꯟ
নাওসাওন,ꯅꯥꯑꯣꯁꯥꯑꯣꯟ
থবক্কী,ꯊꯕꯛꯀꯤ
টর্মগী,ꯇꯔꯃꯒꯤ
ঙাংবীগনু,ꯉꯥꯡꯕꯤꯒꯅꯨ
ইলিজিবিলিটিগী,ꯏꯂꯤꯖꯤꯕꯤꯂꯤꯇꯤꯒꯤ
বাজরাদসু,ꯕꯥꯖꯔꯥꯗꯁꯨ
অষ্টাঙ্গহৃদয়,ꯑꯁꯇꯥꯡꯒꯍꯔ꯭ꯤꯗꯌ
লায়বক,ꯂꯥꯌꯕꯛ
রক্তগী,ꯔꯛꯇꯒꯤ
এক্টরশিংগী,ꯑꯦꯛꯇꯔꯁꯤꯡꯒꯤ
ফারকই,ꯐꯥꯔꯛꯏ
য়াওবনি,ꯌꯥꯑꯣꯕꯅꯤ
মনুংইন্না,ꯃꯅꯨꯡꯏꯟꯅꯥ
হেল্পরশীং,ꯍꯦꯜꯄꯔꯁꯤꯡ
আইইভিএফএ,ꯑꯥꯏꯏꯚꯤꯑꯦꯐꯑꯦ
য়োংদু,ꯌꯣꯡꯗꯨ
নোক্নরম্মী,ꯅꯣꯛꯅꯔꯝꯃꯤ
মহুত্তা,ꯃꯍꯨꯠꯇꯥ
টেম্পেরেচরদগী,ꯇꯦꯝꯄꯦꯔꯦꯆꯔꯗꯒꯤ
ইজুকেসন,ꯏꯖꯨꯀꯦꯁꯟ
মাংখ্রে,ꯃꯥꯡꯈꯔ꯭ꯦ
দাইএবেটিজবু,ꯗꯥꯏꯑꯦꯕꯦꯇꯤꯖꯕꯨ
তৌদ্রিঙৈ,ꯇꯧꯗꯔ꯭ꯤꯉꯩ
শাংদোক্নবগী,ꯁꯥꯡꯗꯣꯛꯅꯕꯒꯤ
স্প্লিন,ꯁꯄ꯭ꯂꯤꯟ
কম্মর্চারিশিংগীদি,ꯀꯝꯃꯔꯆꯥꯔꯤꯁꯤꯡꯒꯤꯗꯤ
সুক্খন,ꯁꯨꯛꯈꯟ
লায়হল্লে,ꯂꯥꯌꯍꯜꯂꯦ
তকশিল্লি,ꯇꯛꯁꯤꯜꯂꯤ
লেপথোকপদা,ꯂꯦꯞꯊꯣꯛꯄꯗ
জিলাগী,ꯖꯤꯂꯥꯒꯤ
এন্ত্রিশীংগী,ꯑꯦꯟꯇꯔ꯭ꯤꯁꯤꯡꯒꯤ
দর্মেল,ꯗꯔꯃꯦꯜ
সোসাইটি,ꯁꯣꯁꯥꯏꯇꯤ
গবর্ণমেন্টেল,ꯒꯕꯔꯅꯃꯦꯟꯇꯦꯜ
রিদিং,ꯔꯤꯗꯤꯡ
মথৌগী,ꯃꯊꯧꯒꯤ
উৎপীরবদি,ꯎꯠꯄꯤꯔꯕꯗꯤ
নাহল্লক্নবগী,ꯅꯥꯍꯜꯂꯛꯅꯕꯒꯤ
ষ্টেরাইল,ꯁꯇ꯭ꯦꯔꯥꯏꯜ
ভলুন্টিয়রস,ꯚꯂꯨꯟꯇꯤꯌꯔꯁ
দাইএষ্টোলিক,ꯗꯥꯏꯑꯦꯁꯇꯣꯂꯤꯛ
ইক্রান্তি,ꯏꯀꯔ꯭ꯥꯟꯇꯤ
লৌজবগী,ꯂꯧꯖꯕꯒꯤ
এসকালেসন,ꯑꯦꯁꯀꯥꯂꯦꯁꯟ
টঢণ্টঞঞ্চ,ꯇꯙꯟꯇꯟꯟꯆ
তেঙ্গোৎ,ꯇꯦꯡꯒꯣꯠ
মাইনোরিটি,ꯃꯥꯏꯅꯣꯔꯤꯇꯤ
মীংগৌ,ꯃꯤꯡꯒꯧ
থাঙ্গৎখিবনি,ꯊꯥꯡꯒꯠꯈꯤꯕꯅꯤ
সিলিকোন,ꯁꯤꯂꯤꯀꯣꯟ
মখুরা,ꯃꯈꯨꯔꯥ
সপোর্তিভ,ꯁꯄꯣꯔꯇꯤꯚ
ঙাঙ্দে,ꯉꯥꯡꯗꯦ
ৱাহৈৱাতাশীং,ꯋꯥꯍꯩꯋꯥꯇꯥꯁꯤꯡ
টাৱরশীংগী,ꯇꯥꯋꯔꯁꯤꯡꯒꯤ
ষ্টোরশীং,ꯁꯇ꯭ꯣꯔꯁꯤꯡ
নরসিংহ,ꯅꯔꯁꯤꯡꯍ
দিসেন্ত্রেলাইজেসন,ꯗꯤꯁꯦꯟꯇꯔ꯭ꯦꯂꯥꯏꯖꯦꯁꯟ
স্পামিং,ꯁꯄ꯭ꯥꯃꯤꯡ
থারোইদবনি,ꯊꯥꯔꯣꯏꯗꯕꯅꯤ
কারশীং,ꯀꯥꯔꯁꯤꯡ
চংবসু,ꯆꯪꯕꯁꯨ
ইকাইরে,ꯏꯀꯥꯏꯔꯦ
এন্তিপার্তম,ꯑꯦꯟꯇꯤꯄꯥꯔꯇꯝ
কাউগনু,ꯀꯥꯎꯒꯅꯨ
তাঙ্কক্তগী,ꯇꯥꯡꯀꯛꯇꯒꯤ
সরচার্জ,ꯁꯔꯆꯥꯔꯖ
পিরিবদু,ꯄꯤꯔꯤꯕꯗꯨ
তাহৌদে,ꯇꯥꯍꯧꯗꯦ
তরেৎনিগী,ꯇꯔꯦꯠꯅꯤꯒꯤ
থিবিরক্ত্রে,ꯊꯤꯕꯤꯔꯛꯇꯔ꯭ꯦ
শীজবগী,ꯁꯤꯖꯕꯒꯤ
চান্নগদবনি,ꯆꯥꯟꯅꯒꯗꯕꯅꯤ
হন্থহনবদা,ꯍꯟꯊꯍꯟꯕꯗ
ঙাকথোক্লগনি,ꯉꯥꯛꯊꯣꯛꯂꯒꯅꯤ
রিসোর্ছশিং,ꯔꯤꯁꯣꯔꯁꯁꯤꯡ
মৈত্রবাক্তা,ꯃꯩꯇꯔ꯭ꯕꯥꯛꯇꯥ
গ্রাসরুট,ꯒꯔ꯭ꯥꯁꯔꯨꯠ
নুপাশিংবু,ꯅꯨꯄꯥꯁꯤꯡꯕꯨ
হল্লক্খি,ꯍꯜꯂꯛꯈꯤ
তৌরিবশীংবু,ꯇꯧꯔꯤꯕꯁꯤꯡꯕꯨ
হায়বসিদি,ꯍꯥꯌꯕꯁꯤꯗꯤ
প্রিসেট,ꯄꯔ꯭ꯤꯁꯦꯠ
ফোন্তস,ꯐꯣꯟꯇꯁ
লৌমীদু,ꯂꯧꯃꯤꯗꯨ
য়েন্নাউশীংগী,ꯌꯦꯟꯅꯥꯎꯁꯤꯡꯒꯤ
ফজরবা,ꯐꯖꯔꯕ
কাওরোইদবনি,ꯀꯥꯑꯣꯔꯣꯏꯗꯕꯅꯤ
ময়াম্দি,ꯃꯌꯥꯝꯗꯤ
কান্নদোই,ꯀꯥꯟꯅꯗꯣꯏ
কোয়বা,ꯀꯣꯌꯕ
চৎপগী,ꯆꯠꯄꯒꯤ
ফেসলেস,ꯐꯦꯁꯂꯦꯁ
থোংনাউদগী,ꯊꯣꯡꯅꯥꯎꯗꯒꯤ
মোর্দনাইজ,ꯃꯣꯔꯗꯅꯥꯏꯖ
ফৎচিলহন্দবা,ꯐꯠꯆꯤꯜꯍꯟꯗꯕ
লেইংগী,ꯂꯦꯏꯡꯒꯤ
কন্টামিনেট,ꯀꯟꯇꯥꯃꯤꯅꯦꯠ
কুম্মে,ꯀꯨꯝꯃꯦ
ৱারিদু,ꯋꯥꯔꯤꯗꯨ
খুদোপ,ꯈꯨꯗꯣꯞ
য়েংলুদ্রে,ꯌꯦꯡꯂꯨꯗꯔ꯭ꯦ
থোক্তবী,ꯊꯣꯛꯇꯕꯤ
অঙৌতোন,ꯑꯉꯧꯇꯣꯟ
খরদংসি,ꯈꯔꯗꯪꯁꯤ
লোইখ্রে,ꯂꯣꯏꯈꯔ꯭ꯦ
ঙম্মোই,ꯉꯝꯃꯣꯏ
খত্নবদগী,ꯈꯠꯅꯕꯗꯒꯤ
ফিল্মশিংনি,ꯐꯤꯜꯃꯁꯤꯡꯅꯤ
ফেক্টর,ꯐꯦꯛꯇꯔ
এজ্যুকেশন,ꯑꯦꯖꯌ꯭ꯨꯀꯦꯁꯟ
ইলেক্ত্রিকেল,ꯏꯂꯦꯛꯇꯔ꯭ꯤꯀꯦꯜ
হিদেন,ꯍꯤꯗꯦꯟ
তুংগী,ꯇꯨꯡꯒꯤ
পিক্কিং,ꯄꯤꯛꯀꯤꯡ
সোফ্টৱায়র,ꯁꯣꯐꯇꯋꯥꯌꯔ
কেপ্রিকোন,ꯀꯦꯄꯔ꯭ꯤꯀꯣꯟ
চিল্লি,ꯆꯤꯜꯂꯤ
কোর্পোরেল,ꯀꯣꯔꯄꯣꯔꯦꯜ
এজুকেসন,ꯑꯦꯖꯨꯀꯦꯁꯟ
থোকহনবনা,ꯊꯣꯛꯍꯟꯕꯅ
ইল্লিবী,ꯏꯜꯂꯤꯕꯤ
পোক্পগী,ꯄꯣꯛꯄꯒꯤ
হিদাক্তুগী,ꯍꯤꯗꯥꯛꯇꯨꯒꯤ
মরিংজেল,ꯃꯔꯤꯡꯖꯦꯜ
কন্সটিট্যুয়েন্সিদগী,ꯀꯟꯁꯇꯤꯇꯌ꯭ꯨꯌꯦꯟꯁꯤꯗꯒꯤ
হুম্ফুহুম্দোই,ꯍꯨꯝꯐꯨꯍꯨꯝꯗꯣꯏ
পাসৱার্দতু,ꯄꯥꯁꯋꯥꯔꯗꯇꯨ
থাজরে,ꯊꯥꯖꯔꯦ
ফিজেৎ,ꯐꯤꯖꯦꯠ
দিষ্ট্রীক্টগী,ꯗꯤꯁꯇꯔ꯭ꯤꯛꯇꯒꯤ
ন্যুমিসমেটিক্স,ꯅꯌ꯭ꯨꯃꯤꯁꯃꯦꯇꯤꯛꯁ
পনিসমেন্ট,ꯄꯅꯤꯁꯃꯦꯟꯇ
ত্রষ্টি,ꯇꯔ꯭ꯁꯇꯤ
য়াউরিবশীং,ꯌꯥꯎꯔꯤꯕꯁꯤꯡ
চত্থহল্লি,ꯆꯠꯊꯍꯜꯂꯤ
হুমাং,ꯍꯨꯃꯥꯡ
ওপোরচুনিষ্টিক,ꯑꯣꯄꯣꯔꯆꯨꯅꯤꯁꯇꯤꯛ
তকখায়রগা,ꯇꯛꯈꯥꯌꯔꯒ
হন্থহল্লবশীংবু,ꯍꯟꯊꯍꯜꯂꯕꯁꯤꯡꯕꯨ
লৈখিদ্রবশিংগী,ꯂꯩꯈꯤꯗꯔ꯭ꯕꯁꯤꯡꯒꯤ
ফাওদোক,ꯐꯥꯑꯣꯗꯣꯛ
রিমোত্তা,ꯔꯤꯃꯣꯠꯇꯥ
প্রোটেক্টেদ,ꯄꯔ꯭ꯣꯇꯦꯛꯇꯦꯗ
ত্রেজরি,ꯇꯔ꯭ꯦꯖꯔꯤ
য়ুশিং,ꯌꯨꯁꯤꯡ
হোংদোক্কনি,ꯍꯣꯡꯗꯣꯛꯀꯅꯤ
কেরোসিন,ꯀꯦꯔꯣꯁꯤꯟ
প্রষ্টাব,ꯄꯔ꯭ꯁꯇꯥꯕ
এন্টিভাইরস,ꯑꯦꯟꯇꯤꯚꯥꯏꯔꯁ
বেগগ্রাউন,ꯕꯦꯒꯒꯔ꯭ꯥꯎꯟ
চেন্নাইগী,ꯆꯦꯟꯅꯥꯏꯒꯤ
খোংগ্রাওগী,ꯈꯣꯡꯒꯔ꯭ꯥꯑꯣꯒꯤ
কোব্রা,ꯀꯣꯕꯔ꯭ꯥ
কলেজশিংগী,ꯀꯂꯦꯖꯁꯤꯡꯒꯤ
মখোয়্সু,ꯃꯈꯣꯌꯁꯨ
চংলে,ꯆꯪꯂꯦ
য়ারোইদৌরি,ꯌꯥꯔꯣꯏꯗꯧꯔꯤ
এদজুদিকেটিং,ꯑꯦꯗꯖꯨꯗꯤꯀꯦꯇꯤꯡ
কঞ্জুমরদগী,ꯀꯟꯖꯨꯃꯔꯗꯒꯤ
মচানুপীদু,ꯃꯆꯥꯅꯨꯄꯤꯗꯨ
এন্টিবোদিশীংদদি,ꯑꯦꯟꯇꯤꯕꯣꯗꯤꯁꯤꯡꯗꯗꯤ
ঙাইরিবশীংনসু,ꯉꯥꯏꯔꯤꯕꯁꯤꯡꯅꯁꯨ
লায়্রেন্দু,ꯂꯥꯌꯔ꯭ꯦꯟꯗꯨ
নুপীবু,ꯅꯨꯄꯤꯕꯨ
